Microbiota,Disease
Pasteurellaceae,Parkinson's Disease
Paraprevotella,Parkinson's Disease
Sphingobacterium,Parkinson's Disease
Clostridium cluster iv,Parkinson's Disease
Leptotrichia,Parkinson's Disease
Hydrogenophilaceae,Parkinson's Disease
Christensenella,Parkinson's Disease
Capnocytophaga,Parkinson's Disease
Neisseria,Parkinson's Disease
Clostridium cluster xviii,Parkinson's Disease
Lactobacillus mucosae,Parkinson's Disease
Lachnospiraceae incertae sedis,Parkinson's Disease
Bacteroides plebeius,Parkinson's Disease
Rhizobiales,Parkinson's Disease
Blautia glucerasea,Parkinson's Disease
Ruminococcus callidus,Parkinson's Disease
Christensenella minuta,Parkinson's Disease
Proteus,Parkinson's Disease
Barnesiellaceae,Parkinson's Disease
Granulicatella,Parkinson's Disease
Coriobacteriaceae,Parkinson's Disease
Pasteurellales,Rem sleep behavior disorder
Eggerthella,Rem sleep behavior disorder
Catenibacterium,Rem sleep behavior disorder
Oxalobacteraceae,Rem sleep behavior disorder
Methanosphaera,Rem sleep behavior disorder
Erysipelotrichaceae incertae sedis,Rem sleep behavior disorder
Catenibacterium mitsuokai,Schizophrenia
Halorubrum,Schizophrenia
Ochrobactrum,Schizophrenia
Saccharophagus,Schizophrenia
Deferribacter,Schizophrenia
Trophyrema,Schizophrenia
Streptococcus gordonii,Schizophrenia
Halothiobacillus,Schizophrenia
Anabaena,Schizophrenia
Gallionella,Schizophrenia
Nitrosospira,Schizophrenia
Eubacterium hallii,Schizophrenia
